Genre; Année; Titre; Distributeur
Adventure;2000;How the Grinch Stole Christmas;Universal
Adventure;2000;Dinosaur;Walt Disney
Adventure;2000;Cast Away;20th Century Fox
Adventure;2000;Chicken Run;Dreamworks SKG
Adventure;2000;Space Cowboys;Warner Bros.
Adventure;2000;Rugrats in Paris;Paramount Pictures
Adventure;2000;Mission to Mars;Walt Disney
Adventure;2000;Stuart Little;Sony Pictures
Adventure;2000;102 Dalmatians;Walt Disney
Adventure;2000;The Emperor's New Groove;Walt Disney
Adventure;2000;The Road to El Dorado;Dreamworks SKG
Adventure;2000;The Tigger Movie;Walt Disney
Adventure;2000;Pokemon 2000;Warner Bros.
Adventure;2000;Toy Story 2;Walt Disney
Adventure;2000;The Adventures of Rocky & Bullwinkle;Universal
Adventure;2000;Titan A.E.;20th Century Fox
Adventure;2000;Thomas and the Magic Railroad;Destination Films
Adventure;2000;Dungeons and Dragons;New Line
Adventure;2000;The Little Vampire;New Line
Adventure;2000;Digimon: The Movie;20th Century Fox
Adventure;2000;T-Rex: Back to the Cretaceous;IMAX Films
Adventure;2000;Cyberworld 3D;IMAX Films
Adventure;2000;Pokemon: The First Movie;Warner Bros.
Adventure;2000;MVP: Most Valuable Primate;Box Office History for Keystone Entertainment
Adventure;2000;Star Wars Ep. I: The Phantom Menace;20th Century Fox
Adventure;2000;Across The Sea of Time;Box Office History for Sony Pictures Classics
Adventure;2000;Tarzan;Walt Disney
Adventure;2000;Kirikou and the Sorceress;ArtMattan Films
Adventure;2000;Sinbad: Beyond the Veil of Mists;Phaedra Cinema
Adventure;2001;Harry Potter and the Sorcerer’s Stone;Warner Bros.
Adventure;2001;Shrek;Dreamworks SKG
Adventure;2001;Monsters, Inc.;Walt Disney
Adventure;2001;The Lord of the Rings: The Fellowship of the Ring;New Line
Adventure;2001;The Mummy Returns;Universal
Adventure;2001;Planet of the Apes;20th Century Fox
Adventure;2001;Lara Croft: Tomb Raider;Paramount Pictures
Adventure;2001;Cast Away;20th Century Fox
Adventure;2001;Spy Kids;Miramax/Dimension
Adventure;2001;Atlantis: The Lost Empire;Walt Disney
Adventure;2001;Jimmy Neutron: Boy Genius;Paramount Pictures
Adventure;2001;A Knight’s Tale;Sony Pictures
Adventure;2001;The Emperor's New Groove;Walt Disney
Adventure;2001;Recess: School's Out;Walt Disney
Adventure;2001;Final Fantasy: The Spirits Within;Sony Pictures
Adventure;2001;Black Knight;20th Century Fox
Adventure;2001;The Musketeer;Universal
Adventure;2001;Pokemon 3: The Movie;Warner Bros.
Adventure;2001;102 Dalmatians;Walt Disney
Adventure;2001;Cyberworld 3D;IMAX Films
Adventure;2001;How the Grinch Stole Christmas;Universal
Adventure;2001;Rugrats in Paris;Paramount Pictures
Adventure;2001;T-Rex: Back to the Cretaceous;IMAX Films
Adventure;2001;Dungeons and Dragons;New Line
Adventure;2001;Across The Sea of Time;Box Office History for Sony Pictures Classics
Adventure;2001;Space Cowboys;Warner Bros.
Adventure;2001;2001: A Space Odyssey;MGM
Adventure;2001;Jabberwocky;
Adventure;2001;Kirikou and the Sorceress;ArtMattan Films
Adventure;2002;Spider-Man;Sony Pictures
Adventure;2002;Star Wars Ep. II: Attack of the Clones;20th Century Fox
Adventure;2002;The Lord of the Rings: The Two Towers;New Line
Adventure;2002;Harry Potter and the Chamber of Secrets;Warner Bros.
Adventure;2002;Ice Age;20th Century Fox
Adventure;2002;Scooby-Doo;Warner Bros.
Adventure;2002;Lilo & Stitch;Walt Disney
Adventure;2002;The Santa Clause 2;Walt Disney
Adventure;2002;The Lord of the Rings: The Fellowship of the Ring;New Line
Adventure;2002;Spy Kids 2: The Island of Lost Dreams;Miramax/Dimension
Adventure;2002;Snow Dogs;Walt Disney
Adventure;2002;E.T. the Extra-Terrestrial;Universal
Adventure;2002;Spirit: Stallion of the Cimarron;Dreamworks SKG
Adventure;2002;Stuart Little 2;Sony Pictures
Adventure;2002;The Time Machine;Dreamworks SKG
Adventure;2002;The Count of Monte Cristo;Walt Disney
Adventure;2002;Peter Pan: Return to Neverland;Walt Disney
Adventure;2002;Big Fat Liar;Universal
Adventure;2002;Star Trek: Nemesis;Paramount Pictures
Adventure;2002;Clockstoppers;Paramount Pictures
Adventure;2002;Treasure Planet;Walt Disney
Adventure;2002;The Wild Thornberrys Movie;Paramount Pictures
Adventure;2002;The Crocodile Hunter: Collision Course;MGM
Adventure;2002;Jonah: A VeggieTales Movie;Artisan
Adventure;2002;Jimmy Neutron: Boy Genius;Paramount Pictures
Adventure;2002;Harry Potter and the Sorcerer’s Stone;Warner Bros.
Adventure;2002;The Country Bears;Walt Disney
Adventure;2002;Hey Arnold! The Movie;Paramount Pictures
Adventure;2002;The Powerpuff Girls;Warner Bros.
Adventure;2002;Monsters, Inc.;Walt Disney
Adventure;2002;Spirited Away;Walt Disney
Adventure;2002;The Lion King;Walt Disney
Adventure;2002;T-Rex: Back to the Cretaceous;IMAX Films
Adventure;2002;Spider-Man/Men in Black II Double-Bill;Sony Pictures
Adventure;2002;The Fast Runner;Lot 47 Films
Adventure;2002;Pinocchio;Miramax
Adventure;2002;Santa vs. The Snowman;IMAX Films
Adventure;2002;Pokemon 4Ever;Miramax
Adventure;2002;Black Knight;20th Century Fox
Adventure;2002;Cyberworld 3D;IMAX Films
Adventure;2002;Metropolis;Sony Pictures
Adventure;2002;Planet of the Apes;20th Century Fox
Adventure;2002;Across The Sea of Time;Box Office History for Sony Pictures Classics
Adventure;2002;Hansel & Gretel;
Adventure;2002;Steel Spirit;Cinema Guild
Adventure;2003;Finding Nemo;Walt Disney
Adventure;2003;Pirates of the Caribbean: The Curse of the Black Pearl;Walt Disney
Adventure;2003;The Lord of the Rings: The Return of the King;New Line
Adventure;2003;Spy Kids 3-D: Game Over;Miramax/Dimension
Adventure;2003;The Italian Job;Paramount Pictures
Adventure;2003;Brother Bear;Walt Disney
Adventure;2003;Master and Commander: The Far Side of the World;20th Century Fox
Adventure;2003;The Lord of the Rings: The Two Towers;New Line
Adventure;2003;The Haunted Mansion;Walt Disney
Adventure;2003;Holes;Walt Disney
Adventure;2003;The League of Extraordinary Gentlemen;20th Century Fox
Adventure;2003;Lara Croft: Tomb Raider: The Cradle of Life;Paramount Pictures
Adventure;2003;The Jungle Book 2;Walt Disney
Adventure;2003;Agent Cody Banks;MGM
Adventure;2003;The Lizzie McGuire Movie;Walt Disney
Adventure;2003;Rugrats Go Wild;Paramount Pictures
Adventure;2003;Good Boy!;MGM
Adventure;2003;Peter Pan;Universal
Adventure;2003;Sinbad: Legend of the Seven Seas;Dreamworks SKG
Adventure;2003;Piglet's Big Movie;Walt Disney
Adventure;2003;Looney Tunes: Back in Action;Warner Bros.
Adventure;2003;Timeline;Paramount Pictures
Adventure;2003;Harry Potter and the Chamber of Secrets;Warner Bros.
Adventure;2003;The Lion King;Walt Disney
Adventure;2003;The Wild Thornberrys Movie;Paramount Pictures
Adventure;2003;Spirited Away;Walt Disney
Adventure;2003;T-Rex: Back to the Cretaceous;IMAX Films
Adventure;2003;Star Trek: Nemesis;Paramount Pictures
Adventure;2003;Young Black Stallion;Walt Disney
Adventure;2003;Treasure Planet;Walt Disney
Adventure;2003;Les Triplettes de Belleville;Sony Pictures
Adventure;2003;The Legend of Johnny Lingo;Box Office History for Innovation Film Group
Adventure;2003;The Santa Clause 2;Walt Disney
Adventure;2003;Santa vs. The Snowman;IMAX Films
Adventure;2003;Pokemon Heroes;Miramax
Adventure;2003;Help! I'm a Fish;
Adventure;2003;The Lord of the Rings: The Fellowship of the Ring;New Line
Adventure;2003;Pinocchio;Miramax
Adventure;2003;Spy Kids 2: The Island of Lost Dreams;Miramax/Dimension
